pc,explained_variance_ratio,cumulative
PC1,0.47388503190079007,0.47388503190079007
PC2,0.24819258019068322,0.7220776120914733
PC3,0.17834852169876572,0.900426133790239
PC4,0.09957386620976105,1.0
