time_idx,pc1,pc2
0,-0.4420498096536374,1.0636398380324863
1,-0.44096808593798614,0.8846967159582314
2,-0.4388520781594759,0.6775766383515684
3,-0.4583840739478926,0.5270138271582656
4,-0.48293645926957607,0.40239244214413494
5,-0.520025359003961,0.32418092403228493
6,-0.5782992017963934,0.26039075185862665
7,-0.6655679388114266,0.23540579691025385
8,-0.7410580758475741,0.21077785905414237
9,-0.8022359417469049,0.17611694078863788
10,-0.8517296079322999,0.13809790482084366
11,-0.9185527539246643,0.09129872449653266
12,-0.9814803054802305,0.07075280411641305
13,-1.0213285498874223,0.05626956388872395
14,-1.057223534572101,0.03765058182921436
15,-1.105544172073091,0.043747842195899195
16,-1.1499849279714882,0.06469151531306026
17,-1.1884241771719561,0.07610897105520191
18,-1.2107515561874025,0.09508021952589758
19,-1.2347020420978994,0.11754778983540316
20,-1.2571854432015441,0.11459906817734623
21,-1.274684748039493,0.08911904499428688
22,-1.2719133240195477,0.047682678154883404
23,-1.2432388326994517,-0.03524904491799129
24,-1.2003168800181916,-0.1115469014311195
25,-1.207765090387164,-0.14298190466626234
26,-1.2027650306042448,-0.2279642538244498
27,-1.2007266450464313,-0.2936926737714984
28,-1.1709417299804996,-0.38405823211908563
29,-1.1309897489509986,-0.4696866052502981
30,-1.075869002460664,-0.6007770229232657
31,-1.0248733655589972,-0.7361930395925577
32,-1.0342107096120747,-0.802843425052784
33,-1.0486558771532835,-0.8480237241018078
34,-1.0596750551522283,-0.8555009160443298
35,-1.0527518340677442,-0.8465753735016684
36,-1.0428199352437435,-0.8524313560104608
37,-1.0408566144375981,-0.8390071817679464
38,-1.0255200236623065,-0.8129460316700294
39,-1.024298122102638,-0.766468753465523
40,-1.0315936415700586,-0.7372224779303628
41,-1.0235377753640449,-0.7048072575084622
42,-1.038843937635183,-0.6460750105292709
43,-1.0333232387126143,-0.6156369216285873
44,-1.0379575768846094,-0.5830108094957351
45,-1.043295125100171,-0.582326798506783
46,-1.0414756514677395,-0.5721683409943717
47,-1.0488588500438238,-0.5578786193588424
48,-1.046436289045482,-0.5744726211708165
49,-1.0369857953754515,-0.582550415591428
50,-1.0294604032455625,-0.5888545380559342
51,-0.999928875738368,-0.6388001286091586
52,-0.9503609130824265,-0.6873673077754062
53,-0.8984304296117498,-0.7212100161277489
54,-0.8343107088496945,-0.7823846713902262
55,-0.7705022852092488,-0.8756953004331892
56,-0.7220957163727387,-0.9718899582928093
57,-0.6961591922920427,-1.0286836346583534
58,-0.7239793386037731,-1.0288311631366933
59,-0.7568739891311991,-1.0229512108659422
60,-0.8604643181655073,-0.9691402332569676
61,-0.9458214567598037,-0.9733507535584849
62,-0.9640060119947089,-1.0117211003119213
63,-1.0088780578586238,-1.007756327940141
64,-1.0875558479687357,-1.0165136420397727
65,-1.1264737238291915,-1.0053883368504863
66,-1.1350790547055842,-0.9879511859818975
67,-1.1341764562681853,-0.9678092236021045
68,-1.1127218640718723,-0.9559638364854173
69,-1.140305614007255,-0.8518544453866951
70,-1.1526334601355472,-0.7834617144870253
71,-1.1300248944201403,-0.7580182254093514
72,-1.0638199495201206,-0.8108478904277175
73,-0.9906985782032577,-0.8755054895330638
74,-0.9457294827627079,-0.8825163514320173
75,-0.9815303909094493,-0.7813935154394037
76,-1.0456432397587443,-0.6734497254235027
77,-1.0952815419125492,-0.5917428135805611
78,-1.1017091772755063,-0.48573958240675447
79,-1.0551900459086119,-0.3732016746789915
80,-1.0742038259967286,-0.13026079960797265
81,-1.06442311293631,0.09139728297847367
82,-1.0251527761087205,0.28489088587933337
83,-0.9726698266532386,0.4312813592053333
84,-0.9061057841541412,0.520150291023873
85,-0.8332196910288341,0.5812404703953659
86,-0.7508192943119886,0.6214602957027368
87,-0.6792548812548894,0.6910856225901358
88,-0.6441945415197362,0.7812636753364804
89,-0.6235352956343082,0.9448421514283648
90,-0.6042962269620289,1.065100996454124
91,-0.5904617896845352,1.1355425811682753
92,-0.5912372701790964,1.214499740973897
93,-0.6002116221253698,1.2808590384950145
94,-0.6315980497362346,1.3266236336486414
95,-0.6348094121949861,1.3484601014628415
96,-0.6435709042242352,1.371470058388874
97,-0.6657953549225362,1.3861761354716362
98,-0.6978053469170403,1.4256420654014215
99,-0.7205318184390251,1.4404509283064537
100,-0.7817216647893817,1.44770229126642
101,-0.8134945180806123,1.4598867797074897
102,-0.8357798248527724,1.473929285527168
103,-0.8692512813442829,1.4817961823926566
104,-0.8956488014227787,1.4641852451783648
105,-0.9146124724024971,1.4210815236990435
106,-0.9272073029141027,1.377850732414039
107,-0.947447598482638,1.3635017901289996
108,-0.954537871575961,1.3111957941965517
109,-0.9756042411936968,1.2650574073963827
110,-1.0051154100047432,1.2151458733621179
111,-1.0274091208464604,1.1773503434931663
112,-1.0575890265975827,1.105656806343354
113,-1.0984185141941993,1.0259929114389985
114,-1.1389119031600925,0.9425176341611927
115,-1.1859211789413253,0.8587709400403434
116,-1.2504939331546805,0.8104642953074873
117,-1.267516823005869,0.7703919703696708
118,-1.266162315748014,0.7283674617141935
119,-1.2853444543864423,0.7024621055725814
120,-1.3123877413228964,0.72384978654996
121,-1.3185557414194482,0.7187352632648728
122,-1.3039000885981435,0.688066031973831
123,-1.362090131954569,0.768485777346701
124,-1.4351648405827406,0.8136812828579326
125,-1.4993713086278009,0.8083328190757078
126,-1.5525500432306074,0.7801249434883563
127,-1.6043189080837097,0.7218901041678195
128,-1.6324256564595283,0.6651400244272695
129,-1.6765226408080784,0.6476467995986965
130,-1.7260295630447575,0.6485239174069999
131,-1.7873038476372942,0.5913957265709193
132,-1.7871066553209063,0.5172269812920897
133,-1.7787050831754059,0.47721880010197704
134,-1.7623978260931963,0.4170741901225604
135,-1.7558261007330247,0.3563848897680105
136,-1.7391077335335177,0.36980969729752794
137,-1.7215350043757167,0.3881080580310515
138,-1.7212111101232923,0.46293737804499613
139,-1.7177364710167862,0.4935549937669382
140,-1.7058778324003239,0.5312669238229141
141,-1.6762686667070645,0.5690189681523338
142,-1.6746670640829915,0.5971075331550587
143,-1.6832782592593953,0.6054884645046109
144,-1.6754990473446596,0.6034356822515773
145,-1.6795080022307758,0.604388972407902
146,-1.6675935353380926,0.5947875022211873
147,-1.6407112610947172,0.5492715101386723
148,-1.6144146125682008,0.5406888275573188
149,-1.5969519725548698,0.5161085969825112
150,-1.5742335334806397,0.49907914462712233
151,-1.5597831974704162,0.4863425074253206
152,-1.5224594042769177,0.44941862849677006
153,-1.4979480005421175,0.423077196595016
154,-1.454257999142576,0.38027679583154944
155,-1.4020363878280497,0.3706196398366914
156,-1.3558285392373366,0.3922775157351418
157,-1.3337478900618946,0.43224782449278953
158,-1.318109527583611,0.45246975179749716
159,-1.3065379312484307,0.4464684857482662
160,-1.261219687572632,0.4266663392552101
161,-1.2109444953300332,0.38243558707739334
162,-1.1503823128277724,0.3096876822671315
163,-1.089342975354931,0.23865219737868246
164,-0.9944166334022514,0.12341650762947386
165,-0.9793918966031744,0.06710586572442641
166,-0.9673736927680422,-0.02836791644492556
167,-0.9660108662644132,-0.12455409011665211
168,-0.9882807308032775,-0.18424394610961625
169,-1.0785759494929315,-0.1308064672729835
170,-1.114542686791941,-0.21643813379491197
171,-1.2178160078870173,-0.22508747249748953
172,-1.2965400961527913,-0.24383692300582666
173,-1.3725569440260923,-0.2402582315365241
174,-1.4559588798023326,-0.20229790207898835
175,-1.5663510273242256,-0.12590261770798658
176,-1.691911668782401,-0.05398824125060501
177,-1.7930962772943397,0.028501371864330074
178,-1.8572221009268517,0.06558589127492784
179,-1.890557541218295,0.09651655036534114
180,-1.933222450300773,0.16980123733712393
181,-1.9512025424237733,0.20850889558252356
182,-1.956844858178373,0.2631697409524644
183,-1.9468418224362887,0.27969518067988625
184,-1.9654855554301753,0.38379793744394564
185,-1.9782550482236898,0.5599630868877926
186,-2.006578877435431,0.7038042694957012
187,-1.9772633028668796,0.8494968178885727
188,-1.965891659171768,0.9235479664349886
189,-1.950243921423473,0.9406092665088318
190,-1.911751745660475,0.9032604800812734
