,win_center,win_dm,win_tube,win_return,go_center,go_dm,go_tube,go_return
win_center,4.692780582524222,5.013482352915029,6.3270461363685495,7.865893552739149,4.722068930381326,5.113200171678048,6.283563101812324,5.182806893357618
win_dm,,5.165696408837903,6.604144272197523,8.589136485053393,5.398818492707545,5.734719521852892,6.497039253987553,5.840803760887817
win_tube,,,3.527611566082976,7.32314481812263,6.895769413147265,7.808817007379354,8.177719370151017,6.99579983517252
win_return,,,,4.056746538952068,8.587632910883421,9.213365403696422,10.25764112147657,8.76780419252287
go_center,,,,,4.158859657340576,4.230596391942202,4.947155222504607,4.107787487369402
go_dm,,,,,,3.8113769747675574,4.972138171049495,3.7002753168158757
go_tube,,,,,,,3.1502826590251334,4.4081186281339875
go_return,,,,,,,,3.1007938705068288
