Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,3637.233,3637.233,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,3646.5,3684.667,38.167,,
,,,,,,,i,,,,3655.533,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,w,,,POINT,3655.8,3655.8,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,c,,,POINT,3684.4,3684.4,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,3702.867,3702.867,,,
,,,,,,,i,,,,3703.733,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,3714.467,3776.2,61.733,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,w,,,POINT,3754.7,3754.7,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,c,,,POINT,3776.3,3776.3,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,3825.633,3825.633,,,
,,,,,,,i,,,,3834.267,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,w,,,POINT,3834.633,3834.633,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,3834.7,3852.333,17.633,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,c,,,POINT,3852.3,3852.3,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,3907.633,3907.633,,,
,,,,,,,q,,,,3916.0,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,3916.333,3916.333,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,3919.6,3919.6,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,3926.533,3926.533,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,3935.0,3958.667,23.667,,
