Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,1947.6,1980.867,33.267,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,1984.033,2012.167,28.134,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,w,,,POINT,1997.5,1997.5,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,c,,,POINT,2013.0,2013.0,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,2023.933,2023.933,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,2038.767,2070.367,31.6,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,2080.867,2108.267,27.4,,
,,,,,,,i,,,,2099.333,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,w,,,POINT,2099.933,2099.933,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,2112.267,2132.733,20.466,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,c,,,POINT,2131.8,2131.8,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,2157.6,2157.6,,,
,,,,,,,q,,,,2175.1,,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,g,,,POINT,2175.767,2175.767,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,v,,,POINT,2178.433,2178.433,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,t,,,POINT,2184.167,2184.167,,,
0425-2-win-2-topview-new,2024-10-03 18:47:35,,/Volumes/Tong Shen/8maze in vivo recording/0425-2/win-2/240718 0425-2 top standardization tagged.mp4,4315.07,30.0,No focal subject,E,,,STATE,2190.9,2201.167,10.267,,
,,,,,,,q,,,,2218.9,,,,
